Código,Quantidade,Prancha,CATEGORIA,Impressão,Papel,Laminação,Hot,Clichê,Total,Unit
7899866830431,1190,3,"PLANNER DATADA ARGOLADO SEMANAL A6",402.09,310.99,225.11,, ,938.20,0.79
7899866830448,1050,1,"PLANNER DATADA ARGOLADO SEMANAL NOTAS A5",755.72,584.49,423.09,, ,1763.29,1.68
7899866830455,1430,2,"PLANNER DATADA CICEROS DIARIA 14x21",428.76,388.81,291.87,, ,1109.43,0.78
7899866830462,1740,2,"PLANNER DATADA CICEROS SEMANAL 14x21",521.70,473.09,355.14,, ,1349.93,0.78
7899866830479,2410,3,"PLANNER DATADA CICEROS SEMANAL 9x13",814.33,629.82,455.90,, ,1900.04,0.79
7899866830486,2680,4,"PLANNER DATADA CICEROS SEMANAL ANOTACOES 14x21",906.51,701.12,507.51,, ,2115.14,0.79
7899866830493,2170,12,"PLANNER DATADA CICEROS SEMANAL PLANEJAMENTO 17x19,5",1002.33,1007.85,773.76,, ,2783.94,1.28
7899866830509,1150,3,"PLANNER DATADA WIRE-O DIARIA 11,5x16",388.58,300.53,217.55,, ,906.66,0.79
7899866830516,2030,12,"PLANNER DATADA WIRE-O DIARIA A5",937.67,942.83,723.84,, ,2604.34,1.28
7899866830523,1750,5,"PLANNER DATADA WIRE-O SEMANAL ANOTACOES A5",559.51,556.38,417.66,, ,1533.55,0.88
7899866830530,1740,5,"PLANNER DATADA WIRE-O SEMANAL NOTAS A5",556.31,553.20,415.27,, ,1524.78,0.88
7899866830547,1780,14,"PLANNER DATADA WIRE-O SEMANAL OFFICE 15,5x9",553.66,532.30,262.28,, ,1348.24,0.76
7899866830554,1330,2,"BLOCO WIRE-O PAUTADO 12x20",398.77,361.62,271.46,, ,1031.85,0.78
7899866830561,840,8,"CICEROS QUADRICULADO 14x21",377.12,291.67,211.13,, ,879.92,1.05
7899866830578,955,8,"CICEROS MIOLO TRI 14x21",428.75,331.60,240.03,, ,1000.39,1.05
7899866830585,1370,2,"CICEROS PAUTADO 14x21",410.77,372.49,0.00,, ,783.26,0.57
7899866830592,1080,8,"CICEROS SEM PAUTA 14x21",484.87,375.01,271.45,, ,1131.33,1.05
7899866830608,1430,13,"MEU PEQUENO PAUTADO 14x21",444.80,427.63,210.71,, ,1083.14,0.76
7899866830615,1200,13,"MEU PEQUENO SEM PAUTA 14x21",373.26,358.85,176.82,, ,908.93,0.76
7899866830622,1330,13,"MEU PEQUENO PAUTADO 14x21",413.69,397.73,195.97,, ,1007.39,0.76
7899866830639,1200,13,"MEU PEQUENO PONTADO 14x21",373.26,358.85,176.82,, ,908.93,0.76
7899866830646,1180,1,"CADERNO CRIATIVO A5 PAUTADO & PONTADO A5",849.28,656.85,475.47,, ,1981.61,1.68
7899866830653,1310,6,"CADERNO CRIATIVO A5 PAUTADO & PONTADO A5",790.43,611.34,442.52,, ,1844.29,1.41
7899866830660,1350,6,"CADERNO CRIATIVO 17x24 PAUTADO 17X24",814.57,630.00,456.04,, ,1900.61,1.41
7899866830677,1620,10,"CADERNO WIRE-O 17x24 - 10 MATÉRIAS PAUTADO 17x24",848.57,769.50,577.65,, ,2195.72,1.36
7899866830684,1740,10,"CADERNO WIRE-O 17x24 - 1 MATÉRIA PAUTADO 17x24",911.43,826.51,620.43,, ,2358.37,1.36
7899866830691,1150,9,"CADERNO WIRE-O 20x28 - 1 MATÉRIA PAUTADO 20x28",718.19,555.46,402.08,, ,1675.73,1.46
7899866830707,1420,9,"CADERNO WIRE-O 20x28 - 10 MATÉRIAS PAUTADO 20x28",886.81,685.88,496.48,, ,2069.17,1.46
7899866830714,630,7,"CADERNO ORGANIZADOR 17x24 PAUTADO & PONTADO 17x24",612.86,380.59,256.73,, ,1250.18,1.98
7899866830721,840,7,"CADERNO ORGANIZADOR A5 PAUTADO & PONTADO A5",817.14,507.46,342.31,, ,1666.91,1.98
7899866830745,935,4,"PLANNER PERMANENTE CICEROS SEMANAL 14x21",316.26,244.61,177.06,, ,737.93,0.79
7899866830752,860,11,"PLANNER REVISTA PLANEJAMENTO MENSAL PLANEJAMENTO 19x25",1430.00,888.05,506.88,, ,2824.93,3.28
7899866830769,700,8,"PLANNER FINANCEIRO FINANCEIRO A5",314.27,243.06,175.94,, ,733.27,1.05
7899866830783,1530,5,"PLANNER WIRE-O SEMANAL NOTAS A5",489.17,486.43,365.15,, ,1340.76,0.88
7899866830776,1130,4,"CICEROS PONTADO 14x21",382.22,295.62,213.99,, ,891.83,0.79
