Código,Quantidade,Prancha,CATEGORIA,Impressão,Papel,Laminação,Hot,Clichê,Total,Unit
7899866828926,1220,1,"PLANNER DATADA ARGOLADO SEMANAL NOTAS A5",764.88,591.58,428.22,2250.00,90.78,4125.45,3.38
7899866828933,1240,2,"PLANNER DATADA ARGOLADO SEMANAL A6",383.55,347.81,261.09,3000.00,301.00,4293.46,3.46
7899866828940,1940,3,"PLANNER DATADA CICEROS DIARIA 14x21",447.51,449.98,345.46,3750.00,90.78,5083.73,2.62
7899866828957,2330,3,"PLANNER DATADA CICEROS SEMANAL 14x21",537.48,540.44,414.91,3750.00,90.78,5333.61,2.29
7899866828964,3280,2,"PLANNER DATADA CICEROS SEMANAL 9x13",1014.55,920.02,690.63,3000.00,284.20,5909.40,1.80
7899866828971,2960,4,"PLANNER DATADA CICEROS SEMANAL ANOTACOES 14x21",773.13,848.74,661.63,4500.00,90.78,6874.27,2.32
7899866828988,2540,4,"PLANNER DATADA CICEROS SEMANAL PLANEJAMENTO 17x19,5",663.43,728.31,567.75,4500.00,90.78,6550.26,2.58
7899866828995,2030,3,"PLANNER DATADA WIRE-O DIARIA 11,5x16",468.28,470.85,361.49,3750.00,301.00,5351.62,2.64
7899866829008,2110,3,"PLANNER DATADA WIRE-O DIARIA A5",486.73,489.41,375.74,3750.00,90.78,5192.65,2.46
7899866829015,2540,4,"PLANNER DATADA WIRE-O SEMANAL ANOTACOES A5",663.43,728.31,567.75,4500.00,90.78,6550.26,2.58
7899866829022,1670,5,"PLANNER DATADA WIRE-O SEMANAL NOTAS A5",625.36,567.09,425.70,3000.00,90.78,4708.93,2.82
7899866829039,1560,5,"BLOCO WIRE-O PAUTADO 12x20",584.17,529.74,397.66,3000.00,90.78,4602.35,2.95
7899866829046,1070,7,"CICEROS MIOLO TRI 14x21",753.22,582.56,421.69,2250.00,90.78,4098.25,3.83
7899866829053,1830,6,"CICEROS PAUTADO 14x21",884.84,802.39,602.33,3000.00,90.78,5380.33,2.94
7899866829060,1810,6,"CICEROS SEM PAUTA 14x21",875.16,793.62,595.75,3000.00,90.78,5355.31,2.96
7899866829077,1600,12,"CADERNO CRIATIVO 17x24 PAUTADO 17X24",1012.95,918.57,689.54,3000.00,198.92,5819.98,3.64
7899866829084,1340,1,"CADERNO CRIATIVO A5 PAUTADO & PONTADO A5",840.12,649.76,470.34,2250.00,90.78,4301.00,3.21
7899866829091,1830,8,"CADERNO WIRE-O 17x24 - 10 MATÉRIAS PAUTADO 17x24",930.87,844.13,633.67,3000.00,198.92,5607.59,3.06
7899866829107,1180,12,"CADERNO WIRE-O 20x28 - 1 MATÉRIA PAUTADO 20x28",747.05,677.44,508.54,3000.00,198.92,5131.95,4.35
7899866829114,1630,8,"CADERNO WIRE-O 17x24 - 1 MATÉRIA PAUTADO 17x24",829.13,751.88,564.41,3000.00,198.92,5344.34,3.28
7899866829121,810,9,"CADERNO ORGANIZADOR 17x24 PAUTADO & PONTADO 17x24",710.61,441.30,297.68,1500.00,198.92,3148.52,3.89
7899866829138,820,9,"CADERNO ORGANIZADOR A5 PAUTADO & PONTADO A5",719.39,446.75,301.36,1500.00,90.78,3058.27,3.73
7899866829169,950,10,"PLANNER PERMANENTE CICEROS SEMANAL 14x21",386.01,298.55,216.11,2250.00,90.78,3241.45,3.41
7899866829176,900,11,"PLANNER REVISTA PLANEJAMENTO MENSAL PLANEJAMENTO 19x25",1430.00,1241.34,599.04,1500.00,198.92,4969.30,5.52
7899866829183,830,10,"PLANNER FINANCEIRO FINANCEIRO A5",337.25,260.84,188.81,2250.00,90.78,3127.68,3.77
7899866829190,2170,10,"PLANNER WIRE-O SEMANAL NOTAS A5",881.73,681.95,493.64,2250.00,90.78,4398.10,2.03
7899866829206,1170,2,"CICEROS SEM PAUTA 9x13",361.90,328.18,246.35,3000.00,284.20,4220.63,3.61
7899866829213,1470,5,"CICEROS PONTADO 14x21",550.47,499.18,374.72,3000.00,90.78,4515.14,3.07
7899866829220,1210,7,"NOTAS MIX MIOLOS DIFERENTES 14x21",851.78,658.78,476.87,2250.00,90.78,4328.20,3.58
