Código,Quantidade,Prancha,CATEGORIA,Impressão,Papel,Laminação,Hot,Clichê,Total,Unit
7899866829237,990,2,"PLANNER DATADA CICEROS DIARIA 14x21",354.68,274.31,198.57,, ,827.56,0.84
7899866829244,1200,2,"PLANNER DATADA CICEROS SEMANAL 14x21",429.91,332.50,240.69,, ,1003.10,0.84
7899866829251,1390,3,"PLANNER DATADA CICEROS SEMANAL 9x13",596.51,461.35,333.96,, ,1391.82,1.00
7899866829268,1320,3,"PLANNER DATADA WIRE-O SEMANAL OFFICE 15,5x9",566.47,438.12,317.14,, ,1321.73,1.00
7899866829275,1030,3,"PLANNER DATADA WIRE-O SEMANAL NOTAS A5",442.02,341.87,247.46,, ,1031.35,1.00
7899866829282,1120,2,"BLOCO WIRE-O PAUTADO 12x20",401.25,310.34,224.64,, ,936.23,0.84
7899866829299,690,1,"CICEROS MIOLO TRI 14x21",301.28,187.10,126.21,, ,614.59,0.89
7899866829305,910,1,"CICEROS PAUTADO 14X21",397.34,246.76,166.45,, ,810.55,0.89
7899866829312,965,1,"CICEROS SEM PAUTA 14x21",421.36,261.67,176.51,, ,859.54,0.89
7899866829329,1050,4,"CADERNO CRIATIVO 17x24 PAUTADO 17X24",846.86,654.98,474.11,, ,1975.95,1.88
7899866829336,940,4,"CADERNO CRIATIVO A5 PAUTADO & PONTADO A5",758.14,586.36,424.45,, ,1768.95,1.88
7899866829343,920,6,"CADERNO WIRE-O 17x24 - 1 MATÉRIA PAUTADO 17X24",1430.00,888.05,599.04,, ,2917.09,3.17
7899866829350,830,5,"CADERNO WIRE-O 20x28 - 10 MATÉRIAS PAUTADO 20x28",976.87,606.65,409.22,, ,1992.74,2.40
7899866829367,385,5,"CADERNO ORGANIZADOR 17x24 PAUTADO & PONTADO 17x24",453.13,281.40,189.82,, ,924.35,2.40
7899866829374,710,1,"PLANNER PERMANENTE CICEROS SEMANAL 14x21",310.02,192.52,129.87,, ,632.41,0.89
7899866829381,570,7,"PLANNER REVISTA PLANEJAMENTO MENSAL PLANEJAMENTO 19x25",1430.00,888.05,506.88,, ,2824.93,4.96
7899866829398,1170,2,"PLANNER WIRE-O SEMANAL NOTAS A5",419.16,324.19,234.67,, ,978.02,0.84
