Código,Quantidade,Prancha,TIPO,Impressão,Papel,Laminação,Hot,Clichê,Verniz,Total,Unit
7899866829718,3320,6,PLANNER WIRE-O SEMANAL NOTAS A5,821.65,965.17,760.75,2625.00,97.86,667.17,5937.60,1.79
7899866829725,3000,6,PLANNER WIRE-O SEMANAL NOTAS A5,742.46,872.14,687.42,2625.00,0.00,662.62,5589.64,1.86
7899866829411,2180,8,PLANNER DATADA ARGOLADO SEMANAL NOTAS A5,474.66,477.27,366.42,1875.00,97.86,651.81,3943.01,1.81
7899866829480,2830,6,PLANNER DATADA WIRE-O DIARIA A5,700.39,822.72,648.47,2625.00,97.86,660.21,5554.64,1.96
7899866829497,3650,13,PLANNER DATADA WIRE-O SEMANAL ANOTACOES A5,1402.52,1732.85,1377.32,3000.00,97.86,694.72,8305.28,2.28
7899866829503,2700,13,PLANNER DATADA WIRE-O SEMANAL NOTAS A5,1037.48,1281.84,1018.84,3000.00,109.20,675.28,7122.63,2.64
7899866829428,1920,8,PLANNER DATADA CICEROS DIARIA 14x21,418.05,420.35,322.72,1875.00,109.20,648.01,3793.32,1.98
7899866829435,2260,8,PLANNER DATADA CICEROS SEMANAL 14x21,492.08,494.79,379.86,1875.00,97.86,652.97,3992.56,1.77
7899866829459,2620,7,PLANNER DATADA CICEROS SEMANAL ANOTACOES 14x21,704.48,773.37,602.88,2250.00,120.93,663.61,5115.27,1.95
7899866829466,2440,7,PLANNER DATADA CICEROS SEMANAL ANOTACOES 14x21,656.08,720.24,561.46,2250.00,0.00,660.61,4848.39,1.99
7899866829527,1095,12,CICEROS MIOLO TRI 14x21,359.40,277.97,201.21,1125.00,97.86,649.11,2710.55,2.48
7899866829534,1740,10,CICEROS PAUTADO 14x21,621.18,563.30,422.85,1500.00,97.86,665.88,3871.07,2.22
7899866829541,1700,10,CICEROS SEM PAUTA 14x21,606.90,550.35,413.13,1500.00,109.20,664.83,3844.40,2.26
7899866829558,1290,14,NOTAS MIX MIOLO TRI 14X21,460.53,417.62,313.49,1125.00,72.93,663.33,3052.90,7.11
7899866829695,965,12,PLANNER PERMANENTE CICEROS SEMANAL 14x21,316.73,244.97,177.32,1125.00,120.93,645.65,2630.61,2.73
7899866829732,890,12,CICEROS QUADRICULADO 14x21,292.12,225.93,163.54,1125.00,120.93,643.66,2571.18,2.89
7899866829442,2900,11,PLANNER DATADA CICEROS SEMANAL 9x13,972.19,881.61,661.80,1500.00,271.60,691.81,4979.00,1.72
7899866829749,1080,12,CICEROS SEM PAUTA 9x13,354.48,274.16,198.45,1125.00,271.60,648.71,2872.41,2.66
7899866829473,2550,8,"PLANNER DATADA WIRE-O DIARIA 11,5x16",555.22,558.28,428.61,1875.00,97.86,657.21,4172.17,1.64
7899866829404,1490,10,PLANNER DATADA ARGOLADO SEMANAL A6,531.93,482.36,362.10,1500.00,524.30,659.29,4059.98,2.72
7899866829510,2350,11,"PLANNER DATADA WIRE-O SEMANAL OFFICE 15,5x9",787.81,714.40,536.28,1500.00,219.80,678.19,4436.49,1.89
7899866829619,1680,3,CADERNO WIRE-O 20x28 - 10 MATÉRIAS PAUTADO 20x28,882.63,800.39,600.83,1500.00,175.18,685.19,4644.22,2.76
7899866829626,1670,3,CADERNO WIRE-O 20x28 - 1 MATÉRIA PAUTADO 20x28,877.37,795.62,597.25,1500.00,928.20,684.81,5383.25,3.22
7899866829633,1710,9,CADERNO WIRE-O 20x28 - 10 MATÉRIAS PAUTADO 20x28,983.53,891.89,669.52,1500.00,1100.40,692.65,5837.98,3.41
7899866829640,1350,9,CADERNO WIRE-O 20x28 - 1 MATÉRIA PAUTADO 20x28,776.47,704.12,528.56,1500.00,0.00,677.35,4186.51,3.10
