Código,Quantidade,Prancha,CATEGORIA,Impressão,Papel,Laminação,Hot,Clichê,Total,Unit
7899866829756,910,6,PLANNER DATADA ARGOLADO SEMANAL NOTAS A5,635.02,491.14,355.52,, ,1481.68,1.63
7899866829992,2560,2,PLANNER DATADA CICEROS SEMANAL 9x13,563.52,618.63,482.25,, ,1664.39,0.65
7899866830004,2760,2,PLANNER DATADA CICEROS SEMANAL ANOTACOES 14x21,607.55,666.96,519.92,, ,1794.43,0.65
7899866829763,2000,2,"PLANNER DATADA CICEROS SEMANAL PLANEJAMENTO 17x19,5",440.25,483.30,376.75,, ,1300.31,0.65
7899866829770,2220,2,"PLANNER DATADA WIRE-O DIARIA 11,5x16",488.68,536.47,418.20,, ,1443.34,0.65
7899866829787,1790,3,PLANNER DATADA WIRE-O SEMANAL NOTAS A5,667.46,605.27,454.36,, ,1727.08,0.96
7899866829794,1400,3,PLANNER DATADA WIRE-O SEMANAL ANOTACOES A5,522.03,473.39,355.36,, ,1350.79,0.96
7899866829800,1480,4,BLOCO WIRE-O PAUTADO 12x20,395.27,358.44,269.07,, ,1022.77,0.69
7899866829817,990,5,CICEROS MIOLO TRI 14x21,504.43,390.14,282.40,, ,1176.97,1.19
7899866829824,1690,4,CICEROS SEM PAUTA 14x21,451.35,409.30,307.25,, ,1167.89,0.69
7899866829831,1280,5,CICEROS PAUTADO 14x21,652.19,504.42,365.13,, ,1521.74,1.19
7899866829848,2300,1,CADERNO CRIATIVO 17x24 PAUTADO 17x24,976.37,981.74,753.72,, ,2711.83,1.18
7899866829855,1390,6,CADERNO CRIATIVO A5 PAUTADO & PONTADO A5,969.98,750.20,543.04,, ,2263.22,1.63
7899866829862,1410,10,CADERNO WIRE-O 20x28 - 1 MATÉRIA PAUTADO 20x28,1605.00,1241.34,898.56,, ,3744.90,2.66
7899866829879,1740,9,CADERNO WIRE-O 17x24 - 1 MATÉRIA PAUTADO 17x24,942.28,854.48,641.43,, ,2438.19,1.40
7899866829886,1510,9,CADERNO WIRE-O 20x28 - 10 MATÉRIAS PAUTADO 20x28,817.72,741.53,0.00,, ,1559.25,1.03
7899866829893,2270,1,CADERNO WIRE-O 17x24 - 1 MATÉRIA PAUTADO 17X24,963.63,968.94,743.88,, ,2676.45,1.18
7899866829909,620,7,CADERNO ORGANIZADOR 17x24 PAUTADO & PONTADO 17x24,628.79,390.49,263.41,, ,1282.69,2.07
7899866829916,950,8,CADERNO ORGANIZADOR A5 PAUTADO & PONTADO A5,506.56,391.79,283.60,, ,1181.95,1.24
7899866829930,880,5,PLANNER PERMANENTE CICEROS SEMANAL 14x21,448.38,346.79,251.03,, ,1046.19,1.19
7899866829947,790,7,PLANNER FINANCEIRO FINANCEIRO A5,801.21,497.56,335.63,, ,1634.40,2.07
7899866829954,1530,3,PLANNER WIRE-O SEMANAL NOTAS A5,570.51,517.35,388.36,, ,1476.22,0.96
7899866829961,1150,8,CICEROS SEM PAUTA 9x13,613.21,474.27,343.30,, ,1430.78,1.24
7899866829978,1070,11,NOTAS MIX MIOLOS DIFERENTES 14x21,1605.00,1543.06,760.32,, ,3908.38,3.65
7899866829985,910,8,CICEROS SEM PAUTA 9x13,485.23,375.29,271.66,, ,1132.18,1.24
7899866830011,1640,4,PLANNER DATADA CICEROS SEMANAL 14x21,438.00,397.19,298.16,, ,1133.34,0.69
7899866830028,1780,4,PLANNER DATADA WIRE-O DIARIA A5,475.39,431.09,323.61,, ,1230.09,0.69
