Código,Quantidade,Papel,Impressão,Laminação,Hot,Verniz,Unit,Total
7899866830899,2000,0.151666667,0.22,0.22,1.65,0,2.241666667,4483.333333
7899866830905,1800,0.220833333,0.05,0.26,1.65,0,2.180833333,3925.5
7899866830431,1500,0.151666667,1.07,0.22,0,0,1.44166667,2162.5
7899866828926,1500,0.220833333,0,0.27,0.81,0,1.300833,1951.2495
7899866828933,1500,0.151666667,0.2675,0.22,0.81,0,1.449166667,2173.75
7899866830035,1800,0.220833333,0.49,0.22,0.81,0,1.740833333,3133.5
7899866830172,,0,0,0,0,0,0,0
7899866830189,,0,0,0,0,0,0,0
7899866830196,,0,0,0,0,0,0,0
7899866830202,,0,0,0,0,0,0,0
7899866829756,1200,0.220833333,0.67,0.27,0,0,1.160833333,1393
7899866829404,1800,0.151666667,0.25,0.22,0.81,0.23,1.661666667,2991
7899866829411,2600,0.220833333,0.385,0.26,0.81,0.25,1.925833333,5007.166667
7899866830448,1500,0.303333333,1.07,0.22,0,0,1.59333333,2390
7899866830912,2000,0.151666667,0.22,0.22,1.65,0,2.241666667,4483.333333
7899866830929,2500,0.151666667,0.195,0.22,1.65,0,2.216666667,5541.666667
7899866830936,3000,0.151666667,0.175,0.21,1.65,0,2.186666667,6560
7899866828940,2300,0.151666667,0.21,0.22,0.81,0,1.391666667,3200.833333
7899866828957,2500,0.303333333,0.39,0.22,0.81,0,1.723333333,4308.333333
7899866828964,2000,0.151666667,0.22,0.22,1.63,0,2.221666667,4443.333333
7899866828971,1800,0.303333333,0.49,0.44,0.81,0,2.043333333,3678
7899866828988,3000,0.303333333,0.35,0.22,0.81,0,1.683333333,5050
7899866830042,2400,0.151666667,0.2025,0.22,0.81,0,1.384166667,3322
7899866830059,2400,0.151666667,0.2025,0.22,0.81,0,1.384166667,3322
7899866829992,1500,0.151666667,0.28,0.22,0,0,0.651666667,977.5
7899866830004,3000,0.151666667,0.175,0.22,0,0,0.546666667,1640
7899866830851,1700,0.37,0,0,0,0,0.37,629
7899866830066,2500,0.220833333,0.39,0.26,0.81,0,1.680833333,4202.083333
7899866830219,,0,0,0,0,0,0,0
7899866830226,,0,0,0,0,0,0,0
7899866830233,,0,0,0,0,0,0,0
7899866830240,,0,0,0,0,0,0,0
7899866830257,,0,0,0,0,0,0,0
7899866830264,,0,0,0,0,0,0,0
7899866830271,,0,0,0,0,0,0,0
7899866830288,,0,0,0,0,0,0,0
7899866830295,,0,0,0,0,0,0,0
7899866830301,,0,0,0,0,0,0,0
7899866830318,,0,0,0,0,0,0,0
7899866830325,,0,0,0,0,0,0,0
7899866829237,1300,0.151666667,0.3175,0.24,0,0,0.709166667,921.9166667
7899866829244,1500,0.151666667,0.2675,0.22,0,0,0.639166667,958.75
7899866829251,1800,0.151666667,0.42,0.16,0,0,0.731666667,1317
7899866829428,2300,0.151666667,0.21,0.22,0.81,0.13,1.521666667,3499.833333
7899866829435,2700,0.151666667,0.2,0.22,0.81,0.3,1.681666667,4540.5
7899866829442,1800,0.151666667,0.25,0.22,1.63,0.23,2.481666667,4467
7899866829459,3000,0.151666667,0.175,0.21,0.81,0.19,1.536666667,4610
7899866829466,3000,0.151666667,0.175,0.22,0,0.18,0.726666667,2180
7899866829763,2500,0.151666667,0.195,0.22,0,0,0.566666667,1416.666667
7899866830455,1800,0.110416667,0.245,0.22,0,0,0.575416667,1035.75
7899866830462,2200,0.151666667,0.22,0.22,0,0,0.591666667,1301.666667
7899866830479,1300,0.151666667,0.3075,0.22,0,0,0.679166667,882.9166667
7899866830486,3000,0.110416667,0.175,0.22,0,0,0.505416667,1516.25
7899866830493,2500,0.220833333,0.39,0.26,0,0,0.870833333,2177.083333
7899866830943,2000,0.151666667,0.22,0.22,1.65,0,2.241666667,4483.333333
7899866830950,2300,0.303333333,0.42,0.22,1.65,0,2.593333333,5964.666667
7899866830967,2200,0.303333333,0.45,0.22,1.65,0,2.623333333,5771.333333
7899866830974,1800,0.220833333,0.05,0.26,1.65,0,2.180833333,3925.5
7899866830981,2200,0.151666667,0.225,0.22,1.65,0,2.246666667,4942.666667
7899866828995,2500,0.151666667,0.195,0.22,0.81,0,1.376666667,3441.666667
7899866829008,2500,0.220833333,0.39,0.26,0.81,0,1.680833333,4202.083333
7899866829015,3000,0.303333333,0.35,0.22,0.81,0,1.683333333,5050
7899866829022,2000,0.220833333,0.44,0.26,0.81,0,1.730833333,3461.666667
7899866829770,3000,0.151666667,0.175,0.22,0,0,0.546666667,1640
7899866830073,2500,0.220833333,0.39,0.24,0.81,0,1.660833333,4152.083333
7899866830080,3000,0.220833333,0.35,0.22,0.81,0,1.600833333,4802.5
7899866829787,2000,0.220833333,0.44,0.26,0,0,0.920833333,1841.666667
7899866830097,1200,0.220833333,0.735,0.15,0.81,0,1.915833333,2299
7899866829268,1500,0.151666667,0.28,0.22,0,0,0.651666667,977.5
7899866830332,,0,0,0,0,0,0,0
7899866830349,,0,0,0,0,0,0,0
7899866830356,,0,0,0,0,0,0,0
7899866830363,,0,0,0,0,0,0,0
7899866830370,,0,0,0,0,0,0,0
7899866830387,,0,0,0,0,0,0,0
7899866830394,,0,0,0,0,0,0,0
7899866830868,1200,0.37,0,0,0,0,0.37,444
7899866829794,2000,0.303333333,0.44,0.22,0,0,0.963333333,1926.666667
7899866829275,1500,0.303333333,0.56,0.22,0,0,1.083333333,1625
7899866829473,3000,0.151666667,0.175,0.22,0.81,0.18,1.536666667,4610
7899866829480,3200,0.303333333,0.355,0.26,0.81,0.17,1.898333333,6074.666667
7899866829497,3900,0.220833333,0.3,0.27,0.81,0.16,1.760833333,6867.25
7899866829503,3200,0.303333333,0.355,0.26,0.81,0.17,1.898333333,6074.666667
7899866829510,2700,0.151666667,0.2,0.22,0,0.3,0.871666667,2353.5
7899866830509,1500,0.151666667,1.07,0.22,0,0,1.44166667,2162.5
7899866830516,2500,0.220833333,0.39,0.24,0,0,0.850833333,2127.083333
